"entrées et plats composés";"plats composés";"plats de viande sans garniture"
"entrées et plats composés";"plats composés";"plats de viande et féculents"
"entrées et plats composés";"plats composés";"plats de viande et légumes/légumineuses"
"entrées et plats composés";"plats composés";"plats de poisson sans garniture"
"entrées et plats composés";"plats composés";"plats de poisson et féculents"
"entrées et plats composés";"plats composés";"plats de légumes/légumineuses"
"entrées et plats composés";"plats composés";"plats de céréales/pâtes"
"entrées et plats composés";"plats composés";"plats de fromage"
"fruits, légumes, légumineuses et oléagineux";"légumes";"légumes crus"
"fruits, légumes, légumineuses et oléagineux";"légumes";"légumes cuits"
"fruits, légumes, légumineuses et oléagineux";"légumes";"légumes séchés ou déshydratés"
"fruits, légumes, légumineuses et oléagineux";"légumineuses";"légumineuses cuites"
"fruits, légumes, légumineuses et oléagineux";"légumineuses";"légumineuses fraîches"
"fruits, légumes, légumineuses et oléagineux";"légumineuses";"légumineuses sèches"
"fruits, légumes, légumineuses et oléagineux";"fruits";"fruits crus"
"fruits, légumes, légumineuses et oléagineux";"fruits";"compotes et assimilés"
"fruits, légumes, légumineuses et oléagineux";"fruits";"fruits appertisés"
"fruits, légumes, légumineuses et oléagineux";"fruits";"fruits séchés"
"produits céréaliers";"pâtes, riz et céréales";"pâtes, riz et céréales cuits"
"produits céréaliers";"pâtes, riz et céréales";"pâtes, riz et céréales crus"
"produits céréaliers";"pains et viennoiseries";"pains"
"produits céréaliers";"pains et viennoiseries";"biscottes et pains grillés"
"produits céréaliers";"pains et viennoiseries";"viennoiseries"
"produits céréaliers";"céréales de petit-déjeuner et biscuits";"céréales de petit-déjeuner"
"produits céréaliers";"céréales de petit-déjeuner et biscuits";"barres céréalières"
"produits céréaliers";"céréales de petit-déjeuner et biscuits";"biscuits sucrés"
"produits céréaliers";"céréales de petit-déjeuner et biscuits";"biscuits apéritifs"
"produits céréaliers";"farines et pâtes à tarte";"farines"
"produits céréaliers";"farines et pâtes à tarte";"pâtes à tarte"
"viandes, œufs, poissons";"viandes cuites";"bœuf et veau"
"viandes, œufs, poissons";"viandes cuites";"porc"
"viandes, œufs, poissons";"viandes cuites";"poulet"
"viandes, œufs, poissons";"viandes cuites";"dinde"
"viandes, œufs, poissons";"viandes cuites";"agneau et mouton"
"viandes, œufs, poissons";"viandes cuites";"gibier"
"viandes, œufs, poissons";"viandes cuites";"autres viandes"
"viandes, œufs, poissons";"viandes cuites";"abats"
"viandes, œufs, poissons";"viandes crues";"bœuf et veau"
"viandes, œufs, poissons";"viandes crues";"porc"
"viandes, œufs, poissons";"viandes crues";"poulet"
"viandes, œufs, poissons";"viandes crues";"dinde"
"viandes, œufs, poissons";"viandes crues";"agneau et mouton"
"viandes, œufs, poissons";"viandes crues";"gibier"
"viandes, œufs, poissons";"viandes crues";"autres viandes"
"viandes, œufs, poissons";"viandes crues";"abats"
"viandes, œufs, poissons";"charcuteries";"jambons cuits"
"viandes, œufs, poissons";"charcuteries";"jambons secs et crus"
"viandes, œufs, poissons";"charcuteries";"saucisson secs"
"viandes, œufs, poissons";"charcuteries";"saucisses et assimilés"
"viandes, œufs, poissons";"charcuteries";"pâtés et terrines"
"viandes, œufs, poissons";"charcuteries";"rillettes"
"viandes, œufs, poissons";"charcuteries";"quenelles"
"viandes, œufs, poissons";"charcuteries";"autres spécialités charcutières"
"viandes, œufs, poissons";"œufs";"œufs cuits"
"viandes, œufs, poissons";"œufs";"œufs crus"
"viandes, œufs, poissons";"œufs";"omelettes et autres ovoproduits"
"lait et produits laitiers";"laits";"laits de vaches liquides (non concentrés)"
"lait et produits laitiers";"laits";"laits autres que de vache"
"lait et produits laitiers";"laits";"laits de vache concentrés ou en poudre"
"lait et produits laitiers";"produits laitiers frais et assimilés";"yaourts et spécialités laitières type yaourt"
"lait et produits laitiers";"produits laitiers frais et assimilés";"fromages blancs"
"lait et produits laitiers";"produits laitiers frais et assimilés";"desserts lactés"
"lait et produits laitiers";"produits laitiers frais et assimilés";"autres desserts"
"lait et produits laitiers";"fromages";"fromages à pâte molle"
"lait et produits laitiers";"fromages";"fromages à pâte persillée"
"lait et produits laitiers";"fromages";"fromages à pâte pressée"
"lait et produits laitiers";"fromages";"fromage fondus"
"lait et produits laitiers";"fromages";"autres fromages et spécialités"
"boissons";"boissons sans alcool";"jus"
"boissons";"boissons sans alcool";"nectars"
"boissons";"boissons sans alcool";"boissons rafraîchissantes sans alcool"
"boissons";"boissons sans alcool";"boissons rafraîchissantes lactées"
"boissons";"boissons sans alcool";"boissons végétales"
"boissons";"boissons sans alcool";"café, thé, cacao etc. prêts à consommer"
"boissons";"boissons sans alcool";"boissons à reconstituer"
"boissons";"boisson alcoolisées";"vins"
"boissons";"boisson alcoolisées";"bières et cidres"
"boissons";"boisson alcoolisées";"cocktails"
"aides culinaires et ingrédients divers";"sauces";"sauces condimentaires"
"aides culinaires et ingrédients divers";"sauces";"sauces chaudes"
"aides culinaires et ingrédients divers";"sauces";"sauces sucrées"
"aides culinaires et ingrédients divers";"herbes";"herbes fraîches"
"aides culinaires et ingrédients divers";"herbes";"herbes séchées"
